Time [s],Value,ASCII
0.880727020000000,orphanedData Channel: -2 [B],[
0.881047360000000,orphanedData Channel: -2 [B],M
0.881367700000000,orphanedData Channel: -2 [B],S
0.881688040000000,orphanedData Channel: -2 [B],G
0.882008380000000,orphanedData Channel: -2 [B],]
0.882328740000000,orphanedData Channel: -2 [B], 
0.882649080000000,orphanedData Channel: -2 [B],A
0.882969420000000,orphanedData Channel: -2 [B],c
0.883289760000000,orphanedData Channel: -2 [B],t
0.883610120000000,orphanedData Channel: -2 [B],i
0.883930460000000,orphanedData Channel: -2 [B],v
0.884250800000000,orphanedData Channel: -2 [B],i
0.884571140000000,orphanedData Channel: -2 [B],t
0.884891480000000,orphanedData Channel: -2 [B],y
0.885211840000000,orphanedData Channel: -2 [B], 
0.885532180000000,orphanedData Channel: -2 [B],f
0.885852520000000,orphanedData Channel: -2 [B],r
0.886172860000000,orphanedData Channel: -2 [B],o
0.886493220000000,orphanedData Channel: -2 [B],m
0.886813560000000,orphanedData Channel: -2 [B],:
0.887133900000000,orphanedData Channel: -2 [B], 
0.887454240000000,orphanedData Channel: -2 [B],e
0.887774580000000,orphanedData Channel: -2 [B],c
0.888094940000000,orphanedData Channel: -2 [B],1
0.888415280000000,orphanedData Channel: -2 [B],c
0.888735620000000,orphanedData Channel: -2 [B],7
0.889055960000000,orphanedData Channel: -2 [B],e
0.889376320000000,orphanedData Channel: -2 [B],7
0.889696660000000,orphanedData Channel: -2 [B],4
0.890017000000000,orphanedData Channel: -2 [B],4
0.890337340000000,orphanedData Channel: -2 [B],9
0.890657680000000,orphanedData Channel: -2 [B],3
0.890978040000000,orphanedData Channel: -2 [B],4
0.891298380000000,orphanedData Channel: -2 [B],1
0.891618720000000,orphanedData Channel: -2 [B],b
0.891939060000000,orphanedData Channel: -2 [B],5
0.892259420000000,orphanedData Channel: -2 [B],8
0.892579760000000,orphanedData Channel: -2 [B],4
0.892900100000000,orphanedData Channel: -2 [B],7
0.893220440000000,orphanedData Channel: -2 [B],8
0.893540780000000,orphanedData Channel: -2 [B],c
0.893861140000000,orphanedData Channel: -2 [B],9
0.894181480000000,orphanedData Channel: -2 [B],3
0.894501820000000,orphanedData Channel: -2 [B],c
0.894822160000000,orphanedData Channel: -2 [B],2
0.895142520000000,orphanedData Channel: -2 [B],7
0.895462860000000,orphanedData Channel: -2 [B],e
0.895783200000000,orphanedData Channel: -2 [B],a
0.896103540000000,orphanedData Channel: -2 [B],6
0.896423900000000,orphanedData Channel: -2 [B],e
0.896744240000000,orphanedData Channel: -2 [B],0
0.897064580000000,orphanedData Channel: -2 [B],8
0.897384920000000,orphanedData Channel: -2 [B],a
0.897705260000000,orphanedData Channel: -2 [B],5
0.898025620000000,orphanedData Channel: -2 [B],3
0.898345960000000,orphanedData Channel: -2 [B],c
0.898666300000000,orphanedData Channel: -2 [B],c
0.898986640000000,orphanedData Channel: -2 [B],8
0.899307000000000,orphanedData Channel: -2 [B],3
0.899627340000000,orphanedData Channel: -2 [B],4
0.899947680000000,orphanedData Channel: -2 [B],2
0.900268020000000,orphanedData Channel: -2 [B],7
0.900588380000000,orphanedData Channel: -2 [B],9
0.900908720000000,orphanedData Channel: -2 [B],e
0.901229060000000,orphanedData Channel: -2 [B],1
0.901549400000000,orphanedData Channel: -2 [B],6
0.901869740000000,orphanedData Channel: -2 [B],4
0.902190100000000,orphanedData Channel: -2 [B],3
0.902510440000000,orphanedData Channel: -2 [B],d
0.902830780000000,orphanedData Channel: -2 [B],b
0.903151120000000,orphanedData Channel: -2 [B],b
0.903471480000000,orphanedData Channel: -2 [B],a
0.903791820000000,orphanedData Channel: -2 [B],9
0.904112160000000,orphanedData Channel: -2 [B],9
0.904432500000000,orphanedData Channel: -2 [B],4
0.904752840000000,orphanedData Channel: -2 [B],a
0.905073200000000,orphanedData Channel: -2 [B],0
0.905393540000000,orphanedData Channel: -2 [B],e
0.905713880000000,orphanedData Channel: -2 [B],7
0.906034220000000,orphanedData Channel: -2 [B],f
0.906354560000000,orphanedData Channel: -2 [B],3
0.906674920000000,orphanedData Channel: -2 [B],e
0.906995260000000,orphanedData Channel: -2 [B],a
0.907315600000000,orphanedData Channel: -2 [B],4
0.907635940000000,orphanedData Channel: -2 [B],3
0.907956300000000,orphanedData Channel: -2 [B],\r
0.908276640000000,orphanedData Channel: -2 [B],\n
0.908596980000000,orphanedData Channel: -2 [B],[
0.908917320000000,orphanedData Channel: -2 [B],M
0.909237660000000,orphanedData Channel: -2 [B],S
0.909558020000000,orphanedData Channel: -2 [B],G
0.909878360000000,orphanedData Channel: -2 [B],]
0.910198700000000,orphanedData Channel: -2 [B], 
0.910519040000000,orphanedData Channel: -2 [B],A
0.910839400000000,orphanedData Channel: -2 [B],c
0.911159740000000,orphanedData Channel: -2 [B],t
0.911480080000000,orphanedData Channel: -2 [B],i
0.911800420000000,orphanedData Channel: -2 [B],v
0.912120760000000,orphanedData Channel: -2 [B],i
0.912441120000000,orphanedData Channel: -2 [B],t
0.912761460000000,orphanedData Channel: -2 [B],y
0.913081800000000,orphanedData Channel: -2 [B], 
0.913402140000000,orphanedData Channel: -2 [B],f
0.913722500000000,orphanedData Channel: -2 [B],r
0.914042840000000,orphanedData Channel: -2 [B],o
0.914363180000000,orphanedData Channel: -2 [B],m
0.914683520000000,orphanedData Channel: -2 [B],:
0.915003880000000,orphanedData Channel: -2 [B], 
0.915324220000000,orphanedData Channel: -2 [B],0
0.915644560000000,orphanedData Channel: -2 [B],0
0.915964900000000,orphanedData Channel: -2 [B],3
0.916285240000000,orphanedData Channel: -2 [B],b
0.916605600000000,orphanedData Channel: -2 [B],9
0.916925940000000,orphanedData Channel: -2 [B],4
0.917246280000000,orphanedData Channel: -2 [B],3
0.917566620000000,orphanedData Channel: -2 [B],4
0.917886980000000,orphanedData Channel: -2 [B],a
0.918207320000000,orphanedData Channel: -2 [B],4
0.918527660000000,orphanedData Channel: -2 [B],5
0.918848000000000,orphanedData Channel: -2 [B],f
0.919168360000000,orphanedData Channel: -2 [B],0
0.919488700000000,orphanedData Channel: -2 [B],e
0.919809040000000,orphanedData Channel: -2 [B],e
0.920129380000000,orphanedData Channel: -2 [B],c
0.920449720000000,orphanedData Channel: -2 [B],d
0.920770080000000,orphanedData Channel: -2 [B],2
0.921090420000000,orphanedData Channel: -2 [B],d
0.921410760000000,orphanedData Channel: -2 [B],3
0.921731100000000,orphanedData Channel: -2 [B],5
0.922051460000000,orphanedData Channel: -2 [B],b
0.922371800000000,orphanedData Channel: -2 [B],c
0.922692140000000,orphanedData Channel: -2 [B],c
0.923012480000000,orphanedData Channel: -2 [B],7
0.923332820000000,orphanedData Channel: -2 [B],8
0.923653180000000,orphanedData Channel: -2 [B],1
0.923973520000000,orphanedData Channel: -2 [B],2
0.924293860000000,orphanedData Channel: -2 [B],9
0.924614200000000,orphanedData Channel: -2 [B],a
0.924934540000000,orphanedData Channel: -2 [B],a
0.925254900000000,orphanedData Channel: -2 [B],3
0.925575240000000,orphanedData Channel: -2 [B],e
0.925895580000000,orphanedData Channel: -2 [B],d
0.926215920000000,orphanedData Channel: -2 [B],c
0.926536280000000,orphanedData Channel: -2 [B],3
0.926856620000000,orphanedData Channel: -2 [B],6
0.927176960000000,orphanedData Channel: -2 [B],3
0.927497300000000,orphanedData Channel: -2 [B],f
0.927817640000000,orphanedData Channel: -2 [B],8
0.928138000000000,orphanedData Channel: -2 [B],0
